"Gene"	"logFC"
"ENSG00000004478"	-2.32428981919298
"ENSG00000008517"	-2.40415290670778
"ENSG00000072682"	-1.97839795528809
"ENSG00000080824"	-1.90987645957132
"ENSG00000087074"	-2.62225812624839
"ENSG00000100625"	-2.97847076794609
"ENSG00000105219"	-2.12561784722093
"ENSG00000106211"	-3.82378480694042
"ENSG00000109047"	-3.82031353686007
"ENSG00000110172"	-2.12706111594138
"ENSG00000112110"	-1.39661466309477
"ENSG00000112773"	-3.09828997252641
"ENSG00000115541"	-2.19883464073284
"ENSG00000116161"	-1.76921535011746
"ENSG00000116741"	-2.20925548754451
"ENSG00000120071"	-4.48855335722953
"ENSG00000120694"	-3.22879165252745
"ENSG00000121931"	-1.62415353802759
"ENSG00000123689"	-4.52349534747215
"ENSG00000124549"	-3.10254979952845
"ENSG00000128965"	-3.64647515593514
"ENSG00000132002"	-4.67308606124892
"ENSG00000138755"	-4.10860468269038
"ENSG00000140403"	-2.05021905808136
"ENSG00000141574"	-2.64440457065584
"ENSG00000144381"	-2.42217427632661
"ENSG00000146453"	-3.47306879705996
"ENSG00000147443"	-3.23714246829447
"ENSG00000149257"	-4.20256798400009
"ENSG00000151929"	-4.21171147004195
"ENSG00000160570"	-2.17446792889122
"ENSG00000162616"	-2.05329796642104
"ENSG00000164430"	-2.67590521356873
"ENSG00000168005"	-1.77021999216869
"ENSG00000168439"	-1.71526018332683
"ENSG00000169245"	-6.91125736814164
"ENSG00000169248"	-4.76600889072629
"ENSG00000171174"	-2.15611898837378
"ENSG00000173110"	-7.61261404899233
"ENSG00000176236"	-3.01663410532686
"ENSG00000177606"	-2.32232239834636
"ENSG00000178184"	-2.17660424280682
"ENSG00000178381"	-2.14520328388285
"ENSG00000178928"	-4.72986558009851
"ENSG00000178977"	-2.47366911384946
"ENSG00000179344"	-6.7077318794797
"ENSG00000181359"	-2.31363353096888
"ENSG00000183793"	-4.05880329308826
"ENSG00000184378"	-4.00924990540056
"ENSG00000186352"	-1.85679879079608
"ENSG00000186868"	-4.97314976685095
"ENSG00000189030"	-2.92340355842395
"ENSG00000204650"	-4.31215446739477
"ENSG00000207118"	-3.4092771089542
"ENSG00000212371"	-3.0402796455028
"ENSG00000212866"	-4.94462695663927
"ENSG00000213035"	-3.00088705017739
"ENSG00000213411"	-2.34634152706635
"ENSG00000213430"	-2.12241912091194
"ENSG00000213700"	-2.4235728099078
"ENSG00000214425"	-4.47407140692706
"ENSG00000214851"	-4.00594635010624
"ENSG00000219016"	-2.99290257467096
"ENSG00000223534"	-5.3789693681905
"ENSG00000224411"	-1.83940741168014
"ENSG00000224431"	-3.43061119772495
"ENSG00000224501"	-5.97586409034291
"ENSG00000225217"	-4.60447522694424
"ENSG00000225492"	-3.19174872010124
"ENSG00000228964"	-7.81214520794431
"ENSG00000230216"	-3.44670569134435
"ENSG00000230230"	-7.50946328770155
"ENSG00000231434"	-2.17602255150709
"ENSG00000231699"	-3.58118493812053
"ENSG00000232489"	-2.59302823524799
"ENSG00000234176"	-3.05496306357824
"ENSG00000235505"	-3.18177761270209
"ENSG00000236060"	-3.48599522849188
"ENSG00000240457"	-7.12843920682239
"ENSG00000241217"	-4.02965995393267
"ENSG00000241287"	-5.57672174735626
"ENSG00000251463"	-2.18612198577799
"ENSG00000254543"	-2.35099414897042
"ENSG00000258092"	-2.2951479660692
"ENSG00000258325"	-2.68153604241554
"ENSG00000260366"	-2.86317150068193
"ENSG00000261441"	-3.17067432528184
"ENSG00000261668"	-3.71412647540134
"ENSG00000261889"	-5.96950594871401
"ENSG00000262902"	-9.42587764211821
"ENSG00000265656"	-3.53574806159358
"ENSG00000267270"	-3.00291766628677
"ENSG00000267892"	-3.51501985693272
"ENSG00000269720"	-5.00324957527185
"ENSG00000270210"	-2.5772758556735
"ENSG00000272418"	-1.98553372335828
