"Gene"	"logFC"
"ENSG00000004478"	-1.75300307397977
"ENSG00000110172"	-2.01499010434351
"ENSG00000112511"	-5.86132436419205
"ENSG00000132002"	-2.50769431887214
"ENSG00000140181"	-2.77993741109527
"ENSG00000149257"	-2.87019356388604
"ENSG00000168439"	-1.62756291143015
"ENSG00000168779"	-6.51440401427914
"ENSG00000173110"	-3.67397150447692
"ENSG00000184674"	-9.07206734380812
"ENSG00000184984"	-5.94987244995097
"ENSG00000188536"	-3.40937651340694
"ENSG00000198502"	-5.44715641979944
"ENSG00000204469"	-8.08354825438542
"ENSG00000204525"	-8.56173949279862
"ENSG00000206172"	-3.34339974139891
"ENSG00000212866"	-2.97934633352997
"ENSG00000223534"	-3.63724027193464
"ENSG00000225630"	-6.63021229591361
"ENSG00000226109"	-5.96600892732689
"ENSG00000231834"	-6.62291761481096
"ENSG00000233327"	-5.32760520656778
"ENSG00000234745"	-11.4250984677173
"ENSG00000235231"	-5.16677503433311
"ENSG00000237051"	-7.03250913429764
"ENSG00000240457"	-6.53300891583566
"ENSG00000244731"	-5.76371758459678
"ENSG00000258092"	-1.73998843317151
"ENSG00000263606"	-1.85038756364461
"ENSG00000271581"	-9.52231676530305
"ENSG00000272955"	-6.36062544168403
"ENSG00000273416"	-2.37908492416409
