"Gene"	"logFC"
"ENSG00000007350"	-3.41919245871638
"ENSG00000011201"	-2.63089034714939
"ENSG00000064886"	-6.24455913943207
"ENSG00000069535"	-2.56518186366229
"ENSG00000090920"	-3.66617924657841
"ENSG00000091106"	-2.36515486278549
"ENSG00000102854"	-3.81258755063791
"ENSG00000103522"	-2.74842882477603
"ENSG00000104043"	-2.53447709102898
"ENSG00000105697"	-3.74677562550074
"ENSG00000105851"	-3.23487368759845
"ENSG00000110077"	-4.52345447706793
"ENSG00000110079"	-3.43117209619653
"ENSG00000123338"	-3.26671943545409
"ENSG00000124491"	-3.63095455358355
"ENSG00000125730"	-4.25936419760124
"ENSG00000131401"	-3.18171610913366
"ENSG00000136250"	-3.04567379940711
"ENSG00000136286"	-2.69703750993214
"ENSG00000149418"	-4.09549805414647
"ENSG00000155629"	-3.0116594546314
"ENSG00000162711"	-2.80792048658507
"ENSG00000165168"	-3.24073916105073
"ENSG00000165457"	-3.01927272659434
"ENSG00000170571"	-3.07417064476755
"ENSG00000171051"	-3.14448366118368
"ENSG00000173372"	-3.70778634482968
"ENSG00000173890"	-2.30499179337993
"ENSG00000174837"	-4.55395341240184
"ENSG00000179344"	-4.04418285081605
"ENSG00000187912"	-4.2064600179454
"ENSG00000188015"	-3.76478711128553
"ENSG00000188933"	-3.15615825057322
"ENSG00000196126"	-4.14590100647556
"ENSG00000196735"	-3.91084467339686
"ENSG00000197520"	-3.58584075516398
"ENSG00000198502"	-5.60776306353202
"ENSG00000203747"	-3.44195949133957
"ENSG00000204103"	-3.27910102789271
"ENSG00000204287"	-8.66018261524785
"ENSG00000204642"	-5.53326359046137
"ENSG00000206176"	-3.2418277471601
"ENSG00000215513"	-2.36198919330387
"ENSG00000223534"	-4.09214780681499
"ENSG00000226109"	-5.59050986170206
"ENSG00000227921"	-4.75536607007491
"ENSG00000228267"	-4.60992200004713
"ENSG00000231834"	-5.70498170955735
"ENSG00000235847"	-3.10503880578251
"ENSG00000237022"	-4.14883368901494
"ENSG00000237075"	-4.60725945903751
"ENSG00000241287"	-3.96685606055912
"ENSG00000244731"	-5.99209144798875
"ENSG00000250771"	-3.5715068611352
"ENSG00000254353"	-3.87865797282191
"ENSG00000272977"	-4.65737435248613
