"Gene"	"logFC"
"ENSG00000015520"	-4.54267207933645
"ENSG00000018280"	-3.5271339047201
"ENSG00000021488"	-2.85971806452499
"ENSG00000077009"	-2.75566066194977
"ENSG00000090920"	-3.27181615590536
"ENSG00000100376"	-2.27615671765257
"ENSG00000104879"	-3.33471472861367
"ENSG00000106211"	-2.89042638339157
"ENSG00000108823"	-2.87544516081421
"ENSG00000115523"	-4.16949660761584
"ENSG00000125144"	-5.37037113275766
"ENSG00000125337"	-4.27336789722955
"ENSG00000126231"	-2.52851050588666
"ENSG00000127530"	-5.04160182682027
"ENSG00000127578"	-2.16425569612371
"ENSG00000132002"	-2.21230195128299
"ENSG00000140961"	-2.52612020494142
"ENSG00000142552"	-2.03229792602142
"ENSG00000143552"	-2.91028070898567
"ENSG00000149418"	-3.30879722327132
"ENSG00000155659"	-4.12492218880394
"ENSG00000157343"	-2.58392988589136
"ENSG00000163141"	-3.70056457109442
"ENSG00000167483"	-2.76590186329606
"ENSG00000167711"	-3.29237033114661
"ENSG00000170835"	-2.39416387586644
"ENSG00000171790"	-2.10555601263382
"ENSG00000173991"	-2.5198085888537
"ENSG00000177575"	-4.50295893662576
"ENSG00000179344"	-8.33953916018532
"ENSG00000179593"	-5.74500298023138
"ENSG00000181019"	-3.1128003570775
"ENSG00000187193"	-3.33221629439009
"ENSG00000187531"	-1.75971377265367
"ENSG00000187837"	-3.63446370598124
"ENSG00000187922"	-4.7410323563989
"ENSG00000188425"	-3.95608578347314
"ENSG00000189030"	-5.18591627800467
"ENSG00000196126"	-7.59713988270246
"ENSG00000196735"	-6.14443862666426
"ENSG00000196866"	-3.48566099053645
"ENSG00000197409"	-3.24359425961723
"ENSG00000197540"	-3.44907058242273
"ENSG00000198417"	-3.98667830632492
"ENSG00000198431"	-1.81437676635873
"ENSG00000198502"	-6.32998916074767
"ENSG00000203819"	-2.78865384057095
"ENSG00000204003"	-4.44218357120828
"ENSG00000204287"	-8.63924134093276
"ENSG00000204525"	-8.24533486412592
"ENSG00000204536"	-5.16499264453803
"ENSG00000204619"	-5.2042258671727
"ENSG00000204623"	-4.02619086821148
"ENSG00000204655"	-5.85889215430729
"ENSG00000204839"	-2.07405397519624
"ENSG00000205358"	-6.00946698819326
"ENSG00000205364"	-3.72214607724654
"ENSG00000206503"	-8.02053522738297
"ENSG00000206505"	-7.56142907895073
"ENSG00000211892"	-8.93484320827126
"ENSG00000211896"	-7.65402086092895
"ENSG00000211959"	-7.12660440179753
"ENSG00000219016"	-3.13276499329111
"ENSG00000223534"	-6.61130190841309
"ENSG00000225553"	-6.0041060807158
"ENSG00000225630"	-7.8117646986254
"ENSG00000227766"	-7.35999259095719
"ENSG00000229921"	-6.70564862329492
"ENSG00000230216"	-3.0295770658211
"ENSG00000230528"	-2.8799821723508
"ENSG00000231286"	-7.52510376954567
"ENSG00000231343"	-5.50672370492763
"ENSG00000231355"	-3.44990159497126
"ENSG00000231475"	-6.15817562948202
"ENSG00000232637"	-3.58063852398664
"ENSG00000232884"	-2.97324780185277
"ENSG00000232909"	-3.70896546995653
"ENSG00000233929"	-4.50382007894743
"ENSG00000234704"	-6.84445753498534
"ENSG00000234745"	-9.87419705269661
"ENSG00000235231"	-5.2991174644928
"ENSG00000235814"	-3.62664006766424
"ENSG00000235952"	-5.19271054361458
"ENSG00000235994"	-5.51789375543298
"ENSG00000236060"	-2.9547359270247
"ENSG00000236397"	-3.20582634768553
"ENSG00000236765"	-6.11032569698416
"ENSG00000238171"	-2.45072151408425
"ENSG00000240457"	-3.93416657149291
"ENSG00000241287"	-6.71651282438156
"ENSG00000243290"	-5.0667631428477
"ENSG00000244731"	-5.62232380494778
"ENSG00000250948"	-3.3752220286387
"ENSG00000254415"	-3.92353608376943
"ENSG00000258867"	-3.98366412551239
"ENSG00000259827"	-3.45533664605714
"ENSG00000261602"	-3.16627908019781
"ENSG00000261716"	-3.0805978040766
"ENSG00000261857"	-3.96093336187833
"ENSG00000266191"	-7.66246686377156
"ENSG00000267161"	-2.11716664493022
"ENSG00000267206"	-3.92855889778059
"ENSG00000267388"	-3.04349596705379
"ENSG00000268802"	-4.01451790293418
"ENSG00000269549"	-2.59156366251658
"ENSG00000269679"	-3.95034389065078
"ENSG00000271581"	-8.47944362070397
"ENSG00000271653"	-3.10903055055611
"ENSG00000272377"	-2.41073751412171
"ENSG00000272993"	-3.19106975623792
"ENSG00000273113"	-2.53417823007839
