"Gene"	"logFC"
"ENSG00000008394"	-3.04165736164779
"ENSG00000015520"	-4.52155585112004
"ENSG00000018280"	-4.67371458013367
"ENSG00000064886"	-4.92788538877819
"ENSG00000090920"	-3.36322291556388
"ENSG00000100292"	-3.06493403245067
"ENSG00000105697"	-3.8754588901711
"ENSG00000106211"	-2.48892211715054
"ENSG00000107249"	-3.28106654094518
"ENSG00000108846"	-4.3364809412172
"ENSG00000110079"	-3.41951887550364
"ENSG00000113916"	-2.99463839759327
"ENSG00000115602"	-11.9127607742737
"ENSG00000116717"	-2.45465435482932
"ENSG00000118990"	-4.94602468034517
"ENSG00000124762"	-3.52881925162508
"ENSG00000130234"	-3.54599479882125
"ENSG00000133048"	-5.84857373314968
"ENSG00000133055"	-2.7160183541146
"ENSG00000134531"	-3.09113915607191
"ENSG00000134755"	-2.72412523838469
"ENSG00000135245"	-3.12060922557743
"ENSG00000137558"	-5.01157060627177
"ENSG00000140961"	-2.7587894279715
"ENSG00000141574"	-3.41752859676294
"ENSG00000144909"	-2.30844815863471
"ENSG00000148604"	-4.19226219938079
"ENSG00000151929"	-3.02783187831984
"ENSG00000152049"	-2.96215652194808
"ENSG00000162645"	-3.09573841913437
"ENSG00000163638"	-4.3707928229488
"ENSG00000164761"	-4.05492941781308
"ENSG00000169902"	-1.86476129751906
"ENSG00000171051"	-3.26704750540658
"ENSG00000171903"	-3.24925111395544
"ENSG00000173110"	-3.61652401215385
"ENSG00000173805"	-2.52331227911307
"ENSG00000174837"	-4.87195898779925
"ENSG00000175591"	-2.97683775346747
"ENSG00000175793"	-4.36843119834241
"ENSG00000177575"	-3.88193138902485
"ENSG00000179344"	-9.14327200351289
"ENSG00000180914"	-2.72946289746946
"ENSG00000182308"	-2.09534559077333
"ENSG00000183793"	-3.26709455782386
"ENSG00000187091"	-2.35352627041947
"ENSG00000188234"	-5.75038481390037
"ENSG00000189266"	-8.66998827727997
"ENSG00000196126"	-8.62665758866885
"ENSG00000196136"	-5.98819582226651
"ENSG00000196735"	-8.12173722299301
"ENSG00000197249"	-3.85097162800772
"ENSG00000198502"	-5.29455514754352
"ENSG00000204469"	-5.45032909121589
"ENSG00000205578"	-4.00119770205497
"ENSG00000215615"	-3.59203419849748
"ENSG00000223401"	-3.94368565347576
"ENSG00000223534"	-7.84941185384295
"ENSG00000224608"	-5.52695055371619
"ENSG00000227739"	-5.02455841489651
"ENSG00000228267"	-6.31142658659746
"ENSG00000228804"	-2.85146901273964
"ENSG00000230216"	-2.68918732257251
"ENSG00000234745"	-4.16810632009464
"ENSG00000235565"	-2.33997901048065
"ENSG00000239542"	-3.16194185361845
"ENSG00000240758"	-2.72795957013463
"ENSG00000241158"	-3.41850855210024
"ENSG00000241287"	-7.86676275004589
"ENSG00000244731"	-6.96089050852229
"ENSG00000250771"	-3.59220447805175
"ENSG00000258867"	-4.32908769080128
"ENSG00000260401"	-3.05728970446268
"ENSG00000260604"	-4.30695351615439
"ENSG00000267056"	-3.90149537633201
"ENSG00000270225"	-5.01420027553251
"ENSG00000271581"	-8.67760922617869
"ENSG00000272601"	-2.87797321821615
"ENSG00000273259"	-5.9553664932732
"ENSG00000273295"	-7.26660897782098
