"Gene"	"logFC"
"ENSG00000072163"	2.48984349102384
"ENSG00000103550"	2.63751238546841
"ENSG00000104941"	3.592035665251
"ENSG00000118113"	5.78910248441724
"ENSG00000124374"	3.9619664681557
"ENSG00000135414"	2.30502674026977
"ENSG00000144230"	3.57568867281523
"ENSG00000144283"	3.4607009303394
"ENSG00000145555"	2.71268676545618
"ENSG00000173848"	2.59398318818823
"ENSG00000183311"	6.14905038693836
"ENSG00000184674"	10.2792107938476
"ENSG00000187010"	5.5280760686702
"ENSG00000204619"	5.64158851928457
"ENSG00000204623"	4.79863568363458
"ENSG00000213411"	2.19770505145716
"ENSG00000214578"	3.02903689850526
"ENSG00000215700"	6.401661177875
"ENSG00000228252"	2.93971410638724
"ENSG00000234719"	3.96860369477254
"ENSG00000235231"	7.11390059922888
"ENSG00000236397"	4.22291513295899
"ENSG00000242551"	3.29703294630964
"ENSG00000269028"	5.00316027186614
"ENSG00000270225"	6.22918071540039
"ENSG00000272955"	8.64020786234174
"ENSG00000273295"	5.9338400484063
