"Gene"	"logFC"
"ENSG00000017427"	2.88410043131146
"ENSG00000112511"	5.55069317533855
"ENSG00000122584"	3.25584739114618
"ENSG00000128683"	3.77053085159966
"ENSG00000136750"	4.55429481183815
"ENSG00000169402"	4.93914824924792
"ENSG00000172460"	2.63187791694607
"ENSG00000188000"	5.32614964867954
"ENSG00000188536"	3.70227627255394
"ENSG00000205426"	3.6339623593767
"ENSG00000224243"	2.96235251269243
"ENSG00000225691"	6.88821658702877
"ENSG00000225748"	7.89830098024721
"ENSG00000227582"	3.69149300133805
"ENSG00000227739"	6.6600914484731
"ENSG00000228628"	7.55086622215609
"ENSG00000229727"	5.65079237551748
"ENSG00000244734"	3.70471692453894
"ENSG00000256618"	7.2451902714761
"ENSG00000260776"	4.04714121788072
